CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
560	839	12	0.8291	0.000
90	330	12	0.668	-3.027
409	839	12	0.7383	-3.027
334	1026	12	0.661	14.015
560	561	12	0.6633	-25.980
330	839	12	0.8109	0.000
772	839	12	0.6801	25.980
143	1026	12	0.9046	0.000
329	772	12	0.724	-25.980
330	1026	12	0.8664	0.000
143	329	12	0.8732	0.000
839	1026	12	0.8231	-0.000
329	1026	12	0.8604	-0.000
560	1026	12	0.8681	0.000
198	334	12	0.7008	-14.015
330	772	12	0.685	-25.980
143	334	12	0.7065	-14.015
329	839	12	0.8482	-0.000
198	409	12	0.8102	3.027
90	329	12	0.7007	-3.026
143	330	12	0.8812	0.000
330	561	12	0.6677	-25.980
143	409	12	0.7707	3.027
329	560	12	0.8612	-0.000
198	560	12	0.8665	-0.000
198	772	12	0.7048	-25.980
561	1026	12	0.6633	25.980
143	561	12	0.7183	-25.980
329	561	12	0.7354	-25.981
560	772	12	0.6836	-25.980
330	409	12	0.7921	3.027
143	772	12	0.6856	-25.980
329	409	12	0.8196	3.027
198	329	12	0.9302	0.000
334	839	12	0.6992	14.015
198	330	12	0.8598	-0.000
409	1026	12	0.7331	-3.027
326	839	12	0.6583	-11.052
143	839	12	0.7984	0.000
198	561	12	0.704	-25.981
330	560	12	0.8718	0.000
561	772	12	0.791	0.000
329	330	12	0.8754	-0.000
772	1026	12	0.6656	25.980
198	839	12	0.8388	-0.000
143	560	12	0.9065	0.000
409	560	12	0.7555	-3.027
72	978	13	0.6806	-8.498
98	150	14	0.8023	18.011
98	868	14	0.6981	-15.996
98	338	14	0.8023	18.011
135	367	14	0.7797	15.996
98	135	14	0.701	74.036
98	367	14	0.704	90.032
150	338	14	1.0	-0.000
440	442	15	0.7109	-102.032
325	1103	16	0.8183	-0.000
325	371	16	0.7357	-0.001
361	362	17	0.6817	-0.988
362	861	17	0.7159	43.990
434	1073	17	0.9375	-0.000
459	861	17	0.9276	-0.000
361	459	17	0.6672	43.003
459	1073	17	0.9268	-0.000
362	459	17	0.7002	43.991
434	459	17	0.931	-0.000
861	1073	17	0.9198	0.000
362	1073	17	0.708	43.991
362	434	17	0.6974	43.991
434	861	17	0.9369	-0.001
180	356	18	0.7763	-0.001
181	356	18	0.7896	0.000
177	351	18	0.6644	14.974
357	871	18	0.7743	0.000
351	355	18	0.7806	-15.956
351	357	18	0.7104	-29.974
105	962	18	0.8402	-0.000
181	870	18	0.7826	0.001
180	870	18	0.7766	-0.001
351	871	18	0.6918	-29.974
105	106	18	0.7834	-1.970
355	357	18	0.7764	-14.017
106	355	18	0.7851	-29.973
356	870	18	0.7616	0.001
180	181	18	0.833	-0.001
177	180	18	0.6554	-14.048
154	341	19	0.8917	-0.000
154	867	19	0.8913	-0.001
341	867	19	0.8973	-0.000
1061	1126	20	0.6573	0.000
497	677	20	0.69	39.025
895	1061	20	0.6567	0.000
1177	1190	20	0.6677	-0.000
494	677	20	0.6609	0.250
677	895	20	0.6566	-0.000
676	895	20	0.6656	0.000
1126	1186	20	1.0	0.000
